시작,START,開始,Kh?i đ?u
SEMI AUTO,SEMI AUTO,,
MANUAL,MANUAL,,
OPTION,OPTION,,
JOG,JOG,,
STATUS,STATUS,,
RELATIVE MOVE,RELATIVE MOVE,,
READ BCR,READ BCR,,
PcbAlign,PcbAlign,,
INSPECT BEFORE DETACH,INSPECT BEFORE DETACH,,
INSPECT AFTER DETACH,INSPECT AFTER DETACH,,
INSPECT AFTER DOTTING,INSPECT AFTER DOTTING,,
INSPECT AFTER ATTACH,INSPECT AFTER ATTACH,,
WaferAlign,WaferAlign,,
PCB Barcode XY,PCB Barcode XY,,
Pcb Left Align Mark XYZ,Pcb Left Align Mark XYZ,,
Pcb Right Align Mark XYZ,Pcb Right Align Mark XYZ,,
Vision PCB Z,Vision PCB Z,,
Pcb Left Align Mark Z,Pcb Left Align Mark Z,,
Pcb Right Align Mark Z,Pcb Right Align Mark Z,,
Disp Sensor XY,Disp Sensor XY,,
Bottom Camera XYZ,Bottom Camera XYZ,,
Burn Paper XYZ,Burn Paper XYZ,,
Dump XY,Dump XY,,
Nozzle Clean XY,Nozzle Clean XY,,
Flux Dipping XYZ,Flux Dipping XYZ,,
Head XYZ Ready,Head XYZ Ready,,
Wafer Ready XYZ,Wafer Ready XYZ,,
Wafer Center XY,Wafer Center XY,,
Wafer Base XYZ,Wafer Base XYZ,,
Wafer Left Align Mark XYZ,Wafer Left Align Mark XYZ,,
Wafer Right Align Mark XYZ,Wafer Right Align Mark XYZ,,
Vision Z Ready,Vision Z Ready,,
Wafer Ready XYZ,Wafer Ready XYZ,,
Wafer Center XY,Wafer Center XY,,
Wafer Left Align Mark XYZ,Wafer Left Align Mark XYZ,,
Wafer Right Align Mark XYZ,Wafer Right Align Mark XYZ,,
Vision Z Ready,Vision Z Ready,,
Vision Wafer Z,Vision Wafer Z,,
Needle Pin Z,Needle Pin Z,,
Wafer Left Align Mark Z,Wafer Left Align Mark Z,,
Wafer Right Align Mark Z,Wafer Right Align Mark Z,,
   Top Vision   ,   Top Vision   ,,
   Bottom Vision   ,   Bottom Vision   ,,
   BCR   ,   BCR   ,,
Send T1 - Detect PCB LED,Send T1 - Detect PCB LED,,
Send T2 - DetectPcbOutsideFM,Send T2 - DetectPcbOutsideFM,,
Send T3 - DetectPcbInsideFM,Send T3 - DetectPcbInsideFM,,
Send T4 - AttachImage,Send T4 - AttachImage,,
Send T6 - DetectWaferRingLed,Send T6 - DetectWaferRingLed,,
Send T8 - DetectBurnPaper,Send T8 - DetectBurnPaper,,
Send T10 - WaferScanPin,Send T10 - WaferScanPin,,
Send T11 - WaferScanMark,Send T11 - WaferScanMark,,
Send T12 - WaferAngle,Send T12 - WaferAngle,,
Send T13 - AttachImage,Send T13 - AttachImage,,
Send T14 - ChipSize,Send T14 - ChipSize,,
Send T15 - Before Detach Log,Send T15 - Before Detach Log,,
Head XY,Head XY,,
Vision Z,Vision Z,,
FAST,FAST,,
SLOW,SLOW,,
STEP,STEP,,
Send B1 DetectLed,Send B1 DetectLed,,
Send B2 Start,Send B2 Start,,
Send B2 Angle,Send B2 Angle,,
Send B2 End,Send B2 End,,
Send B3 LedNozzlePos,Send B3 LedNozzlePos,,
Send B4 FluxNozzlePos,Send B4 FluxNozzlePos,,
Send Q1 Barcode,Send Q1 Barcode,,
Flux,Flux,,
LED Chip Color,LED Chip Color,,
Position,Position,,
CONVEYOR MOTION,CONVEYOR MOTION,,
BACKUP TABLE MOTION,BACKUP TABLE MOTION,,
SEMI AUTO,SEMI AUTO,,
MANUAL,MANUAL,,
OPTION,OPTION,,
JOG,JOG,,
STEP,STEP,,
STATUS,STATUS,,
RELATIVE MOVE,RELATIVE MOVE,,
LOADING,LOADING,,
SET WORKING,SET WORKING,,
FREE WORKING,FREE WORKING,,
CV Width Ready Y,CV Width Ready Y,,
CV Width Work Y,CV Width Work Y,,
Up Table Work Z,Up Table Work Z,,
Up Table Ready Z,Up Table Ready Z,,
IN START,IN START,,
IN END,IN END,,
WORK,WORK,,
END,END,,
In-Conveyor Stopper,In-Conveyor Stopper,,
Table Vacuum,Table Vacuum,,
Work-Conveyor Stopper,Work-Conveyor Stopper,,
UP,UP,,
DOWN,DOWN,,
VACUUM,VACUUM,,
UP,UP,,
DOWN,DOWN,,
Work-CV,Work-CV,,
BackUp Table Z,BackUp Table Z,,
CV Width,CV Width,,
IN-CV,IN-CV,,
FAST,FAST,,
SLOW,SLOW,,
Position,Position,,
D-SENSOR MOTION,D-SENSOR MOTION,,
BARCODE MOTION,BARCODE MOTION,,
SEMI AUTO,SEMI AUTO,,
MANUAL,MANUAL,,
OPTION,OPTION,,
JOG,JOG,,
STATUS,STATUS,,
RELATIVE MOVE,RELATIVE MOVE,,
Pcb Disp Sensor XY,Pcb Disp Sensor XY,,
Disp Sensor Bottom XY,Disp Sensor Bottom XY,,
Barcode Bottom XY,Barcode Bottom XY,,
Wafer Disp Sensor XY,Wafer Disp Sensor XY,,
DISPLACE SENSOR,DISPLACE SENSOR,,
Position,Position,,
JOG,JOG,,
STEP,STEP,,
MOTION,MOTION,,
SEMI AUTO,SEMI AUTO,,
MANUAL,MANUAL,,
OPTION,OPTION,,
JOG,JOG,,
STATUS,STATUS,,
RELATIVE MOVE,RELATIVE MOVE,,
FLUX  CLEAN,FLUX  CLEAN,,
FLUX  DIPPING,FLUX  DIPPING,,
FLUX  DOTTING,FLUX  DOTTING,,
FLUX 1 INSPECT BOTTOM,FLUX 1 INSPECT BOTTOM,,
FLUX 2 INSPECT BOTTOM,FLUX 2 INSPECT BOTTOM,,
Flux#1 Bottom Pos XY,Flux#1 Bottom Pos XY,,
Flux#1 Dipping Pos XY,Flux#1 Dipping Pos XY,,
Flux#1 Dotting Pos XY,Flux#1 Dotting Pos XY,,
Flux#1 Clean Pos XY,Flux#1 Clean Pos XY,,
Flux#1 Z Ready,Flux#1 Z Ready,,
Flux#1 Dipping Z,Flux#1 Dipping Z,,
Flux#1 Dotting Z,Flux#1 Dotting Z,,
Flux#1 Clean Z,Flux#1 Clean Z,,
Flux#2 Bottom Pos XY,Flux#2 Bottom Pos XY,,
Flux#2 Dipping Pos XY,Flux#2 Dipping Pos XY,,
Flux#2 Dotting Pos XY,Flux#2 Dotting Pos XY,,
Flux#2 Clean Pos XY,Flux#2 Clean Pos XY,,
Flux#2 Z Ready,Flux#2 Z Ready,,
Flux#2 Dipping Z,Flux#2 Dipping Z,,
Flux#2 Dotting Z,Flux#2 Dotting Z,,
Flux#2 Clean Z,Flux#2 Clean Z,,
Flux Nozzle Clean Blow,Flux Nozzle Clean Blow,,
BLOW,BLOW,,
Head XY,Head XY,,
Flux #1,Flux #1,,
Flux #2,Flux #2,,
Position,Position,,
JOG,JOG,,
STEP,STEP,,
FAST,FAST,,
SLOW,SLOW,,
MOTION,MOTION,,
SEMI AUTO,SEMI AUTO,,
MANUAL,MANUAL,,
OPTION,OPTION,,
JOG,JOG,,
STATUS,STATUS,,
RELATIVE MOVE,RELATIVE MOVE,,
Laser Bottom Pos XY,Laser Bottom Pos XY,,
Laser Z Ready,Laser Z Ready,,
Laser Attach Z,Laser Attach Z,,
Laser Detach Z,Laser Detach Z,,
Laser Burn Paper Z,Laser Burn Paper Z,,
Parameter Setting,Parameter Setting,,
Laser Vac / Blow,Laser Vac / Blow,,
VACUUM,VACUUM,,
BLOW,BLOW,,
Head XY,Head XY,,
Laser Z,Laser Z,,
Position,Position,,
JOG,JOG,,
STEP,STEP,,
FAST,FAST,,
SLOW,SLOW,,
MOTION,MOTION,,
SEMI AUTO,SEMI AUTO,,
MANUAL,MANUAL,,
OPTION,OPTION,,
JOG,JOG,,
STATUS,STATUS,,
RELATIVE MOVE,RELATIVE MOVE,,
WAFER PICK,WAFER PICK,,
PCB PLACE,PCB PLACE,,
LED DUMP,LED DUMP,,
INSPECT BOTTOM,INSPECT BOTTOM,,
LED PCB pos XY,LED PCB pos XY,,
LED Dump pos XY,LED Dump pos XY,,
LED Bottom pos XY,LED Bottom pos XY,,
LED Wafer pos XY,LED Wafer pos XY,,
LED T Ready,LED T Ready,,
LED Wafer pos T,LED Wafer pos T,,
LED PCB pos T,LED PCB pos T,,
LED Dump pos T,LED Dump pos T,,
LED Bottom pos T,LED Bottom pos T,,
LED Z Ready,LED Z Ready,,
LED Wafer pos Z,LED Wafer pos Z,,
LED PCB pos Z,LED PCB pos Z,,
LED Dump pos Z,LED Dump pos Z,,
LED Bottom pos Z,LED Bottom pos Z,,
LED Nozzle Vac / Blow,LED Nozzle Vac / Blow,,
VACUUM,VACUUM,,
BLOW,BLOW,,
Head XY,Head XY,,
LED Z,LED Z,,
LED T,LED T,,
Position,Position,,
JOG,JOG,,
STEP,STEP,,
MOTION,MOTION,,
SEMI AUTO,SEMI AUTO,,
MANUAL,MANUAL,,
OPTION,OPTION,,
JOG,JOG,,
STATUS,STATUS,,
RELATIVE MOVE,RELATIVE MOVE,,
Wafer Loading,Wafer Loading,,
Inspect Wafer,Inspect Wafer,,
Needle Ready XY,Needle Ready XY,,
Needle Base XY,Needle Base XY,,
Needle Ready Z,Needle Ready Z,,
Needle Flat Z,Needle Flat Z,,
Needle Up Z,Needle Up Z,,
Wafer Table R,Wafer Table R,,
Wafer Table G,Wafer Table G,,
Wafer Table B,Wafer Table B,,
R Wafer Ready,R Wafer Ready,,
G Wafer Ready,G Wafer Ready,,
B Wafer Ready,B Wafer Ready,,
R Wafer Pick,R Wafer Pick,,
G Wafer Pick,G Wafer Pick,,
B Wafer Pick,B Wafer Pick,,
Wafer Vac,Wafer Vac,,
Wafer Pusher Up / Down,Wafer Pusher Up / Down,,
Wafer Select,Wafer Select,,
VACUUM,VACUUM,,
VACUUM,VACUUM,,
UP,UP,,
DOWN,DOWN,,
Red,Red,,
Green,Green,,
Blue,Blue,,
Needle XY,Needle XY,,
Needle Z,Needle Z,,
Wafer Table T,Wafer Table T,,
Wafer Ring T,Wafer Ring T,,
Position,Position,,
JOG,JOG,,
STEP,STEP,,
DEVICE,DEVICE,,
MOTION,MOTION,,
DIGITAL,DIGITAL,,
IO,IO,,
ANALOG,ANALOG,,
CYLINDER,CYLINDER,,
LAMP,LAMP,,
SWITCH,SWITCH,,
Pcb,Pcb,,
Laser,Laser,,
Wafer,Wafer,,
Displacement Sensor,Displacement Sensor,,
Chip Location,Chip Location,,
HeadXY Repeat Test,HeadXY Repeat Test,,
Repeat Count,Repeat Count,,
Relative X Distance,Relative X Distance,,
Relative Y Distance,Relative Y Distance,,
WaferAlign,WaferAlign,,
Wafer Calibration,Wafer Calibration,,
Current Chip X Position,Current Chip X Position,,
Current Chip Y Position,Current Chip Y Position,,
   Setting   ,   Setting   ,,
   InterFace   ,   InterFace   ,,
Laser,Laser,,
Vision,Vision,,
Displace Sensor,Displace Sensor,,
IP,IP,,
Port Number,Port Number,,
IP,IP,,
Port Number,Port Number,,
IP,IP,,
SERIAL PORT,SERIAL PORT,,
Port Number,Port Number,,
BAUDRATE,BAUDRATE,,
VALUE,VALUE,,
Information,Information,,
ENABLE,ENABLE,,
DISABLE,DISABLE,,
HOME,HOME,,
RESET,RESET,,
ALL STOP,ALL STOP,,
ALL SERVO OFF,ALL SERVO OFF,,
SERVO ON,SERVO ON,,
SERVO OFF,SERVO OFF,,
ALL   ENABLE,ALL   ENABLE,,
ALL DISABLE,ALL DISABLE,,
ALL     SERVO ON,ALL     SERVO ON,,
ALL     SERVO OFF,ALL     SERVO OFF,,
POSITION,POSITION,,
STATUS,STATUS,,
REPEAT,REPEAT,,
JOG,JOG,,
CLEAR,CLEAR,,
CONFIG,CONFIG,,
EMERGENCY SIGNAL,EMERGENCY SIGNAL,,
INPOSITION,INPOSITION,,
HOME,HOME,,
ALARM,ALARM,,
SENSOR && LIMIT,SENSOR && LIMIT,,
POSITION CLEAR,POSITION CLEAR,,
HOME,HOME,,
SLOW,SLOW,,
FAST,FAST,,
RUN,RUN,,
STATUS,STATUS,,
CONFIG,CONFIG,,
SPEED,SPEED,,
Set,Set,,
ENABLE,ENABLE,,
DISABLE,DISABLE,,
INPUT LIST,INPUT LIST,,
OUTPUT LIST,OUTPUT LIST,,
ACTIVATE,ACTIVATE,,
DEACTIVATE,DEACTIVATE,,
OUTPUT OFF,OUTPUT OFF,,
CONFIGURATION,CONFIGURATION,,
Information,Information,,
Forward Information,Forward Information,,
Backward Information,Backward Information,,
ALARM,ALARM,,
WARNING,WARNING,,
EVENT,EVENT,,
DATA,DATA,,
    AUTO,    AUTO,,
RECIPE,RECIPE,,
TEACH,TEACH,,
SETUP,SETUP,,
STATISTICS,STATISTICS,,
PM,PM,,
EXIT,EXIT,,
EQP ID,EQP ID,,
LED TACT TIME,LED TACT TIME,,
PCB TACT TIME,PCB TACT TIME,,
ID,ID,,
COUNT,COUNT,,
MOVE,MOVE,,
Speed,Speed,,
ON,ON,,
OFF,OFF,,
ITEMS,ITEMS,,
CONFIGURATION,CONFIGURATION,,
ANALOG INPUT LIST,ANALOG INPUT LIST,,
DSENSOR INFORMATION,DSENSOR INFORMATION,,
X Offset,X Offset,,
Y Offset,Y Offset,,
PCB Base Value,PCB Base Value,,
Wafer Base Value,Wafer Base Value,,
Gel Pak Base Value,Gel Pak Base Value,,
Total X DIstance,Total X DIstance,,
Total Y Distance,Total Y Distance,,
X Pitch,X Pitch,,
Y Pitch,Y Pitch,,
Read Bcr,Read Bcr,,
Use Vac Check,Use Vac Check,,
Use Second Adjust,Use Second Adjust,,
Use Wafer Check,Use Wafer Check,,
Use PCB Check,Use PCB Check,,
LED Exist Macth,LED Exist Macth,,
LED Not Exist Match,LED Not Exist Match,,
Product Z,Product Z,,
Pick Offset X,Pick Offset X,,
Pick Offset Y,Pick Offset Y,,
DSENSOR INFORMATION,DSENSOR INFORMATION,,
PCB Base Value,PCB Base Value,,
Wafer Base Value,Wafer Base Value,,
Gel Pak Base Value,Gel Pak Base Value,,
LED Nozzle,LED Nozzle,,
Bottom  Inspect,Bottom  Inspect,,
LED Nozzle Bottom Set,LED Nozzle Bottom Set,,
Flux Nozzle Bottom Set,Flux Nozzle Bottom Set,,
LED Bottom Set,LED Bottom Set,,
Flux 1 Bottom Set,Flux 1 Bottom Set,,
Flux 2 Bottom Set,Flux 2 Bottom Set,,
OFFSET SETTING,OFFSET SETTING,,
Semi Auto,Semi Auto,,
LED Bottom XY,LED Bottom XY,,
LED Nozzle Relative XY,LED Nozzle Relative XY,,
CAMERA,CAMERA,,
NOZZLE,NOZZLE,,
Pick && Place,Pick && Place,,
LED PICK Up TEST,LED PICK Up TEST,,
C.O.R,C.O.R,,
Option,Option,,
ANALOG VALUE,ANALOG VALUE,,
FLUX FEEDER,FLUX FEEDER,,
Flux Feeder,Flux Feeder,,
Flux #1 Relative Move,Flux #1 Relative Move,,
Flux #2 Relative Move,Flux #2 Relative Move,,
FLUX #1 NOZZLE,FLUX #1 NOZZLE,,
FLUX #2 NOZZLE,FLUX #2 NOZZLE,,
Dipping && Dotting,Dipping && Dotting,,
DETACH,DETACH,,
ATTACH,ATTACH,,
Barcode Relative,Barcode Relative,,
DSensor Relative,DSensor Relative,,
DSENSOR,DSENSOR,,
BACODE,BACODE,,
DISPLACE SENSOR,DISPLACE SENSOR,,
Barcode Relative,Barcode Relative,,
PCB Measurement,PCB Measurement,,
Wafer Measerment,Wafer Measerment,,
Connect,Connect,,
Disconnect,Disconnect,,
Wafer Chip Status,Wafer Chip Status,,
Inspection Count,Inspection Count,,
Single,Single,,
Multi,Multi,,
PCB INFORMATION,PCB INFORMATION,,
Place Inspection Limit X,Place Inspection Limit X,,
Place Inspection Limit Y,Place Inspection Limit Y,,
Place Inspection Limit T,Place Inspection Limit T,,
Laser Relative XY,Laser Relative XY,,
