Stage Tray End,Stage Tray End
Magazine Exist,Magazine Exist
Transfer Overload 1,Transfer Overload 1
Transfer Overload 2,Transfer Overload 2
Transfer Unclamp,Transfer Unclamp
Transfer Clamp,Transfer Clamp
Transfer Tray Exist,Transfer Tray Exist
READY POSITION Z,READY POSITION Z
RELATIVE UP POSITION Z,RELATIVE UP POSITION Z
READY POSITION X,READY POSITION X
MAGAZINE POSITION X,MAGAZINE POSITION X
STAGE POSITION X,STAGE POSITION X
READY POSITION Y,READY POSITION Y
WORK POSITION Y,WORK POSITION Y
UNCLAMP,UNCLAMP
CLAMP,CLAMP
VACUUM,VACUUM
BLOW,BLOW
READY POSITION XY,READY POSITION XY
STAGE PICK POSITION XY,STAGE PICK POSITION XY
INDEX PLACE POSITION XY,INDEX PLACE POSITION XY
READY POSITION Z,READY POSITION Z
STAGE PICK POSITION Z,STAGE PICK POSITION Z
INDEX PLACE POSITION Z,INDEX PLACE POSITION Z
READY POSITION T,READY POSITION T
STAGE PICK POSITION T,STAGE PICK POSITION T
INDEX PLACE POSITION T,INDEX PLACE POSITION T
NG Tray Check,NG Tray Check
Stage Overload,Stage Overload
HEAD XY,HEAD XY
HEAD Z,HEAD Z
HEAD T,HEAD T
MAGAZINE POSITION Y,MAGAZINE POSITION Y
STAGE POSITION Y,STAGE POSITION Y
WORK POSITION X,WORK POSITION X
Option,Option
UNIT SELECT,UNIT SELECT
CURRENT POSITION,CURRENT POSITION
SIGNAL,SIGNAL
SELECT UNIT,SELECT UNIT
JETTING POSITION SETTING,JETTING POSITION SETTING
BONDER #1,BONDER #1
BONDER #2,BONDER #2
CURING #1,CURING #1
CURING #2,CURING #2
CURING STATUS,CURING STATUS
CURING OPTION,CURING OPTION
CYLINDER #1,CYLINDER #1
CYLINDER #2,CYLINDER #2
STAGE PLACE POSITION XY,STAGE PLACE POSITION XY
INDEX PICK POSITION XY,INDEX PICK POSITION XY
STAGE PLACE POSITION Z,STAGE PLACE POSITION Z
INDEX PICK POSITION Z,INDEX PICK POSITION Z
STAGE PLACE POSITION T,STAGE PLACE POSITION T
INDEX PICK POSITION T,INDEX PICK POSITION T
DEVICE,DEVICE
MOTION,MOTION
DIGITAL,DIGITAL
IO,IO
ANALOG,ANALOG
CYLINDER,CYLINDER
LAMP,LAMP
SWITCH,SWITCH
   Setting   ,   Setting   
   InterFace   ,   InterFace   
Information,Information
ENABLE,ENABLE
DISABLE,DISABLE
HOME,HOME
RESET,RESET
ALL STOP,ALL STOP
ALL SERVO OFF,ALL SERVO OFF
SERVO ON,SERVO ON
SERVO OFF,SERVO OFF
ALL   ENABLE,ALL   ENABLE
ALL DISABLE,ALL DISABLE
ALL     SERVO ON,ALL     SERVO ON
ALL     SERVO OFF,ALL     SERVO OFF
POSITION,POSITION
STATUS,STATUS
REPEAT,REPEAT
CLEAR,CLEAR
CONFIG,CONFIG
EMERGENCY SIGNAL,EMERGENCY SIGNAL
INPOSITION,INPOSITION
ALARM,ALARM
SENSOR && LIMIT,SENSOR && LIMIT
POSITION CLEAR,POSITION CLEAR
RUN,RUN
Set,Set
INPUT LIST,INPUT LIST
OUTPUT LIST,OUTPUT LIST
ACTIVATE,ACTIVATE
DEACTIVATE,DEACTIVATE
ANALOG INPUT LIST,ANALOG INPUT LIST
OUTPUT OFF,OUTPUT OFF
CONFIGURATION,CONFIGURATION
Forward Information,Forward Information
Backward Information,Backward Information
ITEMS,ITEMS
WARNING,WARNING
EVENT,EVENT
DATA,DATA
    AUTO,    AUTO
RECIPE,RECIPE
TEACH,TEACH
SETUP,SETUP
STATISTICS,STATISTICS
PM,PM
EXIT,EXIT
